"","Area","Year","Week","State","Location","Total_Kes","Duration_of_Outbreak_in_day","Wind_mean_weekly","Rainfall_mm_mean_weekly","Humidity_mean_weekly","Solar_Radiation_Mjm2_mean_weekly","Area_Population"
"3282","Petaling",2015,12,"SELANGOR","Seksyen_18_Jln_18,3_Flat_B_:_Blok_11_,_17",168,50,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3283","Petaling",2015,10,"SELANGOR","Seksyen_24__Flat_E_:_Blok_32_,_36",1,52,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3284","Petaling",2015,10,"SELANGOR","Seksyen_27_Teres_A_,_Jln_27,10A_,27,20D",1,52,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3285","Petaling",2015,10,"SELANGOR","Tm_Pjs_3_Sri_Manja_Square__Jln_Pjs_3,46,_3,48,_3,59,_3,61,_3,63_",112,52,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3286","Petaling",2015,8,"SELANGOR","Taman_Puchong_Perdana_Jln_Mawar_",141,153,35.6428571428571,4.14285714285714,1,0,1765495
"3287","Petaling",2015,2,"SELANGOR","Ss_18,5,_6",1,69,80.3428571428571,18.1142857142857,0.985714285714286,0,1765495
"3288","Petaling",2015,10,"SELANGOR","Seksyen_U2_Pangsapuri_Jaya",118,51,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3289","Petaling",2015,5,"SELANGOR","Taman_Puchong_Utama_Court_2",64,38,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3290","Petaling",2015,8,"SELANGOR","Bl_Pju_9_Sd_10_",114,137,35.6428571428571,4.14285714285714,1,0,1765495
"3291","Petaling",2015,9,"SELANGOR","Bl_Pju_9_Sd_9",179,53,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3292","Petaling",2015,10,"SELANGOR","Usj_17",12,49,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3293","Petaling",2015,9,"SELANGOR","Tmn_Perindustrian_Puchong_Jln_Tpp_1,20,1,36",103,53,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3294","Petaling",2015,10,"SELANGOR","Seksyen_U10__Pangsapuri_Resak_:_Blok_1_,_2_",64,48,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3295","Petaling",2015,3,"SELANGOR","Seksyen_8_Flat_B_:_Blok_11_,_22",124,32,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3296","Petaling",2015,10,"SELANGOR","Usj_9,1_,_Usj_9,3J",179,48,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3297","Petaling",2015,12,"SELANGOR","Tmn_Kinrara_Jln_Tk_1_Palm_Terrace",179,45,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3298","Petaling",2015,10,"SELANGOR","Seksyen_18_Teres_A_:_Jln_18,4_,18,8C_,_Jln_18,14_,_18,15C_",179,46,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3299","Petaling",2015,10,"SELANGOR","Ss_13,1_Flat_Kos_Rendah",34,46,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
