Stnno,Year,Month,Day,Rainfall_mm,Wind_mean_24Hr,Humidity,Solar_Radiation_Mjm2
48648,2009,6,12,-33.3,1.5,na,na
48648,2009,6,13,9.8,1.5,na,na
48648,2009,6,14,1.8,1.2,na,na
48648,2009,6,15,0.0,2.1,na,na
48648,2009,6,16,0.0,1.5,na,na
48648,2009,6,17,0.0,1.8,na,na
48648,2009,6,18,0.0,1.9,na,na
48648,2009,6,19,3.2,1.5,na,na
48648,2009,6,20,62.4,1.2,na,na
48648,2009,6,21,0.0,1.6,na,na
48648,2009,6,22,4.4,1.6,na,na
48648,2009,6,23,0.2,1.7,na,na
48648,2009,6,24,3.6,1.8,na,na
48648,2009,6,25,0.0,1.5,na,na
48648,2009,6,26,3.4,1.3,na,na
48648,2009,6,27,0.0,1.6,na,na
48648,2009,6,28,0.0,1.6,na,na
48648,2009,6,29,25.8,1.5,na,na
48648,2009,6,30,0.0,1.7,na,na
48648,2009,7,1,19.8,1.3,na,na
48648,2009,7,2,0.6,1.5,na,na
48648,2009,7,3,0.0,1.9,na,na
48648,2009,7,4,9.0,2.9,na,na
48648,2009,7,5,-33.3,-1.1,na,na
48648,2009,7,6,0.0,-1.1,na,na
48648,2009,7,7,9.0,2.0,na,na
48648,2009,7,8,0.0,1.3,na,na
48648,2009,7,9,42.4,1.1,na,na
48648,2009,7,10,0.0,2.5,na,na
48648,2009,7,11,0.0,2.9,na,na
48648,2009,7,12,0.0,3.0,na,na
48648,2009,7,13,0.0,1.8,na,na
48648,2009,7,14,1.0,1.9,na,na
48648,2009,7,15,0.8,1.3,na,na
48648,2009,7,16,0.0,1.6,na,na
48648,2009,7,17,0.0,1.9,na,na
48648,2009,7,18,0.0,1.6,na,na
48648,2009,7,19,0.0,1.6,na,na
48648,2009,7,20,0.0,2.0,na,na
48648,2009,7,21,17.2,1.9,na,na
48648,2009,7,22,33.4,1.6,na,na
48648,2009,7,23,0.0,1.8,na,na
48648,2009,7,24,0.0,1.8,na,na
48648,2009,7,25,1.8,1.6,na,na
48648,2009,7,26,1.6,1.5,na,na
48648,2009,7,27,0.0,2.0,na,na
48648,2009,7,28,12.0,1.8,na,na
48648,2009,7,29,-33.3,2.2,na,na
48648,2009,7,30,0.0,1.9,na,na
48648,2009,7,31,-33.3,1.7,na,na
48648,2009,8,1,0.0,1.7,na,na
48648,2009,8,2,0.0,1.3,na,na
48648,2009,8,3,0.0,1.9,na,na
48648,2009,8,4,0.0,1.3,na,na
48648,2009,8,5,28.0,0.4,na,na
48648,2009,8,6,0.0,0.8,na,na
48648,2009,8,7,0.2,1.3,na,na
48648,2009,8,8,0.0,1.4,na,na
48648,2009,8,9,0.0,1.3,na,na
48648,2009,8,10,19.6,1.0,na,na
48648,2009,8,11,8.4,1.1,na,na
48648,2009,8,12,4.6,1.2,na,na
48648,2009,8,13,2.2,1.1,na,na
48648,2009,8,14,0.4,1.6,na,na
48648,2009,8,15,6.4,1.6,na,na
48648,2009,8,16,1.6,0.8,na,na
48648,2009,8,17,3.0,1.3,na,na
48648,2009,8,18,23.2,1.4,na,na
48648,2009,8,19,0.0,1.4,na,na
48648,2009,8,20,4.6,1.5,na,na
48648,2009,8,21,0.2,1.4,na,na
48648,2009,8,22,11.4,1.1,na,na
48648,2009,8,23,1.2,1.8,na,na
48648,2009,8,24,0.0,1.7,na,na
48648,2009,8,25,0.0,1.8,na,na
48648,2009,8,26,28.2,1.9,na,na
48648,2009,8,27,25.2,1.5,na,na
48648,2009,8,28,0.4,1.6,na,na
48648,2009,8,29,0.0,0.7,na,na
48648,2009,8,30,2.0,0.9,na,na
48648,2009,8,31,0.0,0.9,na,na
48648,2009,9,1,10.8,1.0,na,na
48648,2009,9,2,0.0,0.9,na,na
48648,2009,9,3,0.0,0.9,na,na
48648,2009,9,4,2.8,1.0,na,na
48648,2009,9,5,36.4,1.1,na,na
48648,2009,9,6,0.0,1.5,na,na
